"","ID","Species","Year","Author","Location","Latitude","Longitude","Data_source_type"
"43","LPD 6927","Plegadis falcinellus",1961,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"44","LPD 6902","Thalasseus sandvicensis",1961,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"45","LPD 10838","Capra pyrenaica",1962,"{Escós, 2008 #2538}","Gredos, Central Spain",40.3,"-5.08333","Journal"
"46","LPD 6952","Larus fuscus",1962,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"47","LPD 6927","Plegadis falcinellus",1962,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"48","LPD 6902","Thalasseus sandvicensis",1962,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"49","LPD 8518","Aquila adalberti",1963,"{Ferrer, 2008 #1891} updated with {López-López, 2011 #2497} updated with {Ferrer, 2013 #3466}","Doñana National Park, south-western Spain",37,"-6.5","Journal"
"50","LPD 6952","Larus fuscus",1963,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"51","LPD 6927","Plegadis falcinellus",1963,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"52","LPD 6902","Thalasseus sandvicensis",1963,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"53","LPD 603","Ovis aries",1963,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
"54","LPD 556","Dama dama",1963,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
"55","LPD 543","Cervus elaphus",1963,"{Escos, 1992 #386}","The Park of Sierras de Cazorla y Segura, Spain",37.91667,"-2.91667","Journal"
"56","LPD 7069","Spatula clypeata",1964,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"57","LPD 7068","Anas platyrhynchos",1964,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"58","LPD 7067","Anas crecca",1964,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"59","LPD 7066","Mareca penelope",1964,"{Palacios Alberti, 1999 #2227}","Villafafila lagoon, Spain",41.83333,"-5.61667","Secondary source"
"60","LPD 6952","Larus fuscus",1964,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"61","LPD 6927","Plegadis falcinellus",1964,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"62","LPD 6902","Thalasseus sandvicensis",1964,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"63","LPD 10838","Capra pyrenaica",1965,"{Escós, 2008 #2538}","Gredos, Central Spain",40.3,"-5.08333","Journal"
"64","LPD 6952","Larus fuscus",1965,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"65","LPD 6927","Plegadis falcinellus",1965,"{Institut Català d’Ornitologia, 1996-2007 #2903}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
"66","LPD 6902","Thalasseus sandvicensis",1965,"{Dies, 2004 #2199}","Albufera de Valencia",39.333504,"-0.346729","Secondary source"
"67","LPD 1226","Ardea purpurea",1965,"{Hafner, 2000 #1210}","Ebro delta, Spain",40.71028,"0.84417","Secondary source"
