StudyID;Series_ID;Species;Username;Date_created;Data_source_type;Source_year;DOI;Author;Journal;Class;Order;Family;Subspecies;Location;Country;Latitude;Longitude;Accurancy;Protected;System;Units;Method;Year_start;Year_end;Primary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Secondary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Tertiary_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fourth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;Fifth_threat;Type of disturbance;Threat_start;Threat_end;Recurrence;
13;13.22;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Las Minas;Spain;3.832.673;-168.328;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.23;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Cañaverosa;Spain;3,828,085,845;-1,714,071,141;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.24;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Cañaverosa;Spain;3,828,085,845;-1,714,071,141;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.25;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Cañaverosa;Spain;3.828.086;-171.407;approx;;Freshwater;CPUE;Electrofishing;2009;2014;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.26;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Cañaverosa;Spain;3.828.086;-171.407;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.27;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Esparragal;Spain;;;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.28;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Esparragal;Spain;NA;NA;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.29;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Esparragal;Spain;NA;NA;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.3;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Azud Ermita Liétor;Spain;3.853.931;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.31;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Hoya García;Spain;3,824,143,985;-2;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.32;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Hoya García;Spain;3.824.144;-2;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.33;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Hoya García;Spain;3.824.144;-2;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.34;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud Hoya García;Spain;3.824.144;-2;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.35;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de El Jarral;Spain;3.820.073;-139.452;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.36;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de El Jarral;Spain;3.820.073;-139.452;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.37;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de El Jarral;Spain;3.820.073;-139.452;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.38;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de El Jarral;Spain;3.820.073;-139.452;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.39;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de Ulea;Spain;381.419;-132.299;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.4;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Azud Ermita Liétor;Spain;3.853.931;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.41;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Segura, Azud de Ulea;Spain;381.419;-132.299;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.42;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Taibilla, próximo a Las Claras;Spain;3.832.727;-221.538;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.43;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Taibilla, próximo a Las Claras;Spain;3.832.727;-221.538;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.44;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Tus, La Rala;Spain;3.841.055;-230.957;approx;;Freshwater;CPUE;Electrofishing;2009;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.45;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Tus, La Rala;Spain;3.841.055;-230.957;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.5;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Azud Ermita Liétor;Spain;3.853.931;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.6;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Azud Ermita Liétor;Spain;3.853.931;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.7;Alburnus alburnus;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Pte. Blas García;Spain;3,845,874,397;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2013;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.8;Gobio lozanoi;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Pte. Blas García;Spain;3.845.874;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.9;Luciobarbus sclateri;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Pte. Blas García;Spain;3.845.874;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
13;13.1;Pseudochondrostoma polylepis;robertoP;11/4/22;Journal;2020;10.1016/j.scitotenv.2020.138989;Sánchez-Pérez et al.;STOTEN;Actinopterygii;Cypriniformes;Cyprinidae;;Río Mundo, Pte. Blas García;Spain;3.845.874.397;-2;approx;;Freshwater;CPUE;Electrofishing;2008;2015;Invasive species;press;;;;Habitat alteration;press;;;;;;;;;;;;;;;;;;;
